ACC_NUCCORE	query	distance	pvalue	shared_hashes	recid	Topology_NUCCORE	CreateDate_NUCCORE	Location_BIOSAMPLE	loc_parsed	loc_lat	loc_lng	IsolationSource_BIOSAMPLE	Host_BIOSAMPLE	SamplType_BIOSAMPLE	plasmidfinder	pmlst	Length_NUCCORE	GC_NUCCORE	taxon_name	taxon_species_name	taxon_genus_name	taxon_family_name	taxon_order_name	taxon_class_name	taxon_phylum_name	taxon_superkingdom_name	D1	D2
NZ_CP043665.1	edge_1499	0.00128842	0	948	1	circular	2019-11-20	Israel		31.0461	34.8516	animal			ColRNAI_1, DQ298019		5631	47.38057183448766	Salmonella enterica subsp. enterica serovar Kentucky	Salmonella enterica (28901)	Salmonella (590)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.6821916000000001	-7.954505999999999
NZ_CP014319.1	edge_1499	0.00131423	0	947	2	circular	2016-03-18	USA	USA	39.7837304	-100.4458825	not collected	Homo sapiens		ColRNAI_1, DQ298019		5631	47.38057183448766	Escherichia coli JJ1887	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.6812151999999998	-7.954691
NZ_LT985311.1	edge_1499	0.00134007	0	946	3	circular	2018-03-15								ColRNAI_1, DQ298019		5631	47.38057183448766	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.6822146	-7.954851
NZ_CP018985.1	edge_1499	0.00134007	0	946	4	circular	2017-03-06	Italy: Pisa		43.72	10.4		Homo sapiens		ColRNAI_1, DQ298019		5631	47.38057183448766	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.6818769	-7.9519224
NZ_CP054347.1	edge_1499	0.00139189	0	944	5	circular	2020-06-12	USA: California	USA,California	36.7014631	-118.75599740000001	rectal swab from healthy college student	Homo sapiens	whole organism	ColRNAI_1, DQ298019		5631	47.36281299946724	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.6816026000000002	-7.954958400000001
NZ_CP011138.1	edge_1499	0.00154832	0	938	6	circular	2015-04-06	missing				urine	Homo sapiens	Bacterial culture	ColRNAI_1, DQ298019		5631	47.32729532942639	Escherichia coli VR50	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.6813451000000001	-7.95287
CP045938.1	edge_3652	0.00165343	0	934	7	circular	2019-11-17	Australia	Australia	-24.7761086	134.755	missing	Homo sapiens		Col156_1, NC_009781		5114	46.36292530308956	Shigella sonnei	Shigella sonnei (624)	Shigella (620)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-11.9062605	0.2912617
CP019693.1	edge_3652	0.00165343	0	934	8	circular	2017-05-19	Hungary: Halimba		47.0335	17.5364	feces	Homo sapiens		Col156_1, NC_009781		5114	46.36292530308956	Shigella sonnei	Shigella sonnei (624)	Shigella (620)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-11.908059	0.2925728
NZ_CP035482.1	edge_1499	0.00178577	0	929	9	circular	2019-02-07	USA:Utah	USA,Utah	39.4225192	-111.71435840000001	urine	Homo sapiens		ColRNAI_1, DQ298019		5632	47.40767045454545	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.6817098999999998	-7.956638000000001
MT230156.1	edge_1499	0.00213483	0	916	10	circular	2020-05-16	France	France	46.603353999999996	1.8883334999999999	river			ColRNAI_1, DQ298019		5554	47.713359740727405	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.6814712	-7.952397
CP023651.1	edge_3652	0.00213483	0	916	11	circular	2017-10-04	Somalia	Somalia	8.3676771	49.083416	missing	Homo sapiens		Col156_1, NC_009781		5114	46.402033633163875	Shigella sonnei	Shigella sonnei (624)	Shigella (620)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-11.907116	0.29264516
NZ_CP042889.1	edge_1498	0.00243596	0	905	12	circular	2020-06-07	Norway:Aas		59.667	10.769	surface water			ColRNAI_1, DQ298019		7939	41.6299282025444	Escherichia coli O10:H32	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	2.2007967999999996	0.63521606
CP023652.1	edge_2901	0.00249129	0	903	13	circular	2017-10-04	Somalia	Somalia	8.3676771	49.083416	missing	Homo sapiens		Col(MG828)_1, NC_008486		4238	40.84473808400189	Shigella sonnei	Shigella sonnei (624)	Shigella (620)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	7.5763679999999995	-2.1857853
NZ_CP023830.1	edge_1498	0.0025468000000000005	0	901	14	circular	2018-12-05	Sweden	Sweden	59.67497120000001	14.5208584	feces	Homo sapiens	Bacterial isolate	ColRNAI_1, DQ298019		7939	41.64252424738632	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	2.2369689999999998	0.66338766
NZ_CP051741.1	edge_1498	0.0025468000000000005	0	901	15	linear	2020-05-02	USA: California	USA,California	36.7014631	-118.75599740000001	rectal swab from healthy college student	Homo sapiens	whole organism	ColRNAI_1, DQ298019		7939	41.64252424738632	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	2.2551913	0.67238927
NZ_CP048341.1	edge_1498	0.00263042	0	898	16	circular	2020-02-20	Switzerland	Switzerland	46.7985624	8.231973599999998	environment		cell culture	ColRNAI_1, DQ298019		7939	41.61733215770248	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	2.2127232999999995	0.6398292
NZ_CP044303.1	edge_2366	0.00265838	0	897	17	circular	2019-12-21	Cambodia		11.5564	104.9282	Pork			IncQ1_1, M28829		6471	60.90248802348941	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.1468893	-4.274132
