Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Candidatus Blochmannia floridanus","Bacteria;Proteobacteria;Gammaproteobacteria","","SAMEA3138247","PRJNA443","GCA_000043285.1","Complete",0.705557,27.4,"chromosome:NC_005061.1/BX248583.1",,1,587,"2003-08-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/043/285/GCA_000043285.1_ASM4328v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/043/285/GCF_000043285.1_ASM4328v1"
"Candidatus Blochmannia pennsylvanicus str. BPEN","Bacteria;Proteobacteria;Gammaproteobacteria","BPEN","SAMN02603465","PRJNA13875","GCA_000011745.1","Complete",0.791654,29.6,"chromosome:NC_007292.1/CP000016.1",,1,610,"2005-08-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/745/GCA_000011745.1_ASM1174v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/745/GCF_000011745.1_ASM1174v1"
"Escherichia albertii","Bacteria;Proteobacteria;Gammaproteobacteria","EC06-170","SAMD00026637","PRJDB3047","GCA_001549955.1","Complete",4.65717,49.8,"chromosome:NZ_AP014857.1/AP014857.1",,1,4248,"2015-11-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/549/955/GCA_001549955.1_ASM154995v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/549/955/GCF_001549955.1_ASM154995v1"
"Candidatus Riesia pediculicola USDA","Bacteria;Proteobacteria;Gammaproteobacteria","USDA","SAMN02603451","PRJNA29065","GCA_000093065.1","Complete",0.582127,28.589,"chromosome:NC_014109.1/CP001085.1; plasmid pPAN:NC_013962.1/CP001086.1",,2,476,"2010-03-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/093/065/GCA_000093065.1_ASM9306v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/093/065/GCF_000093065.1_ASM9306v1"
"Candidatus Blochmannia vafer str. BVAF","Bacteria;Proteobacteria;Gammaproteobacteria","BVAF","SAMN02603466","PRJNA50045","GCA_000185985.2","Complete",0.722585,27.5,"chromosome:NC_014909.2/CP002189.2",,1,581,"2011-01-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/985/GCA_000185985.2_ASM18598v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/985/GCF_000185985.2_ASM18598v2"
"Candidatus Moranella endobia PCIT","Bacteria;Proteobacteria;Gammaproteobacteria","PCIT","SAMN02604229","PRJNA53213","GCA_000219175.1","Complete",0.538294,43.5,"chromosome:NC_015735.1/CP002243.1",,1,409,"2011-06-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/175/GCA_000219175.1_ASM21917v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/175/GCF_000219175.1_ASM21917v1"
"Plautia stali symbiont","Bacteria;Proteobacteria;Gammaproteobacteria","","SAMD00013603","PRJDA53367","GCA_000180175.2","Complete",4.09285,56.8841,"chromosome:NC_022546.1/AP012551.1; plasmid pPstS1:NC_022533.1/AP012552.1; plasmid pPstS2:NC_022534.1/AP012553.1",,3,2770,"2013-10-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/175/GCA_000180175.2_ASM18017v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/180/175/GCF_000180175.2_ASM18017v2"
"Candidatus Ishikawaella capsulata Mpkobe","Bacteria;Proteobacteria;Gammaproteobacteria","Mpkobe","SAMD00061091","PRJNA20927","GCA_000828515.1","Complete",0.754729,30.1685,"chromosome:NZ_AP010872.1/AP010872.1; plasmid pAst:NZ_AP010873.1/AP010873.1",,2,619,"2009-07-01T23:04:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/515/GCA_000828515.1_ASM82851v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/515/GCF_000828515.1_ASM82851v1"
"Buttiauxella agrestis","Bacteria;Proteobacteria;Gammaproteobacteria","DSM 9389","SAMD00224198","PRJDB9774","GCA_013234275.1","Complete",4.56625,50.7,"chromosome:NZ_AP023184.1/AP023184.1",,1,4090,"2020-05-27T23:03:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/234/275/GCA_013234275.1_ASM1323427v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/234/275/GCF_013234275.1_ASM1323427v1"
"Cronobacter muytjensii ATCC 51329","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 51329","SAMN03938713","PRJNA291037","GCA_001277195.1","Complete",4.36411,57.7,"chromosome:NZ_CP012268.1/CP012268.1",,1,3923,"2015-09-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/277/195/GCA_001277195.1_ASM127719v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/277/195/GCF_001277195.1_ASM127719v1"
"Enterobacter sp. EA-1","Bacteria;Proteobacteria;Gammaproteobacteria","EA-1","SAMN08111057","PRJNA420390","GCA_002886105.1","Complete",5.14552,54.6,"chromosome:CP025776.1",,1,1052,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/886/105/GCA_002886105.1_ASM288610v1",
"Escherichia sp. E4742","Bacteria;Proteobacteria;Gammaproteobacteria","E4742","SAMN07759781","PRJNA542980","GCA_005843885.1","Complete",5.12075,50.7,"chromosome:NZ_CP040443.1/CP040443.1",,1,4670,"2019-05-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/843/885/GCA_005843885.1_ASM584388v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/843/885/GCF_005843885.1_ASM584388v1"
"Citrobacter sp. NMI7904_11","Bacteria;Proteobacteria;Gammaproteobacteria","NMI7904_11","SAMN12999965","PRJNA576636","GCA_009363175.1","Complete",5.79423,53.3167,"chromosome:NZ_CP045205.1/CP045205.1; plasmid pCTEL-1:NZ_CP045204.1/CP045204.1; plasmid pCTEL-2:NZ_CP045203.1/CP045203.1",,3,5437,"2019-10-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/363/175/GCA_009363175.1_ASM936317v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/363/175/GCF_009363175.1_ASM936317v1"
"Shigella sp. PAMC 28760","Bacteria;Proteobacteria;Gammaproteobacteria","PAMC 28760","SAMN04548868","PRJNA315032","GCA_001596115.1","Complete",4.55829,50.8,"chromosome:NZ_CP014768.1/CP014768.1",,1,4104,"2016-03-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/596/115/GCA_001596115.1_ASM159611v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/596/115/GCF_001596115.1_ASM159611v1"
"secondary endosymbiont of Ctenarytaina eucalypti","Bacteria;Proteobacteria;Gammaproteobacteria","Ceuc_S","SAMN02604351","PRJNA165193","GCA_000287335.1","Complete",1.44114,43.3,"chromosome:NC_018419.1/CP003546.1",,1,719,"2012-08-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/287/335/GCA_000287335.1_ASM28733v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/287/335/GCF_000287335.1_ASM28733v1"
"secondary endosymbiont of Heteropsylla cubana","Bacteria;Proteobacteria;Gammaproteobacteria","Hcub_S","SAMN02604352","PRJNA165199","GCA_000287355.1","Complete",1.1216,28.9,"chromosome:NC_018420.1/CP003547.1",,1,563,"2012-08-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/287/355/GCA_000287355.1_ASM28735v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/287/355/GCF_000287355.1_ASM28735v1"
"Salmonella sp. SCFS4","Bacteria;Proteobacteria;Gammaproteobacteria","SCFS4","SAMN14558686","PRJNA623775","GCA_013114975.1","Complete",4.98897,51.9,"chromosome:NZ_CP051218.1/CP051218.1",,1,4565,"2020-05-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/114/975/GCA_013114975.1_ASM1311497v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/114/975/GCF_013114975.1_ASM1311497v1"
"Raoultella ornithinolytica","Bacteria;Proteobacteria;Gammaproteobacteria","172117885","SAMN13520757","PRJNA594541","GCA_013457875.1","Complete",5.57525,55.6,"chromosome:NZ_CP046672.1/CP046672.1",,1,5041,"2020-07-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/457/875/GCA_013457875.1_ASM1345787v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/457/875/GCF_013457875.1_ASM1345787v1"
