#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/johannabanana/20201023-ContigsAnnotate/input_files/WG_assembly_edited.fa	edge_1021	23060	23619	-	IncFIB(pECLA)_1_pECLA	1-560/560	===============	0/0	100.00	100.00	plasmidfinder	CP001919	IncFIB(pECLA)_1_pECLA_CP001919	
/home/johannabanana/20201023-ContigsAnnotate/input_files/WG_assembly_edited.fa	edge_1034	351	460	+	Col440I_1	1-111/114	========/======	1/1	96.49	91.89	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
/home/johannabanana/20201023-ContigsAnnotate/input_files/WG_assembly_edited.fa	edge_1038	376	484	+	Col440I_1	1-110/114	========/======	1/1	95.61	93.64	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
/home/johannabanana/20201023-ContigsAnnotate/input_files/WG_assembly_edited.fa	edge_1047	3319	3431	+	Col440I_1	1-114/114	========/======	1/1	99.12	94.74	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
/home/johannabanana/20201023-ContigsAnnotate/input_files/WG_assembly_edited.fa	edge_1050	3908	4020	-	ColRNAI_1	19-130/130	..======/======	1/1	86.15	91.15	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/johannabanana/20201023-ContigsAnnotate/input_files/WG_assembly_edited.fa	edge_115	277	509	-	Col(BS512)_1	1-233/233	===============	0/0	100.00	100.00	plasmidfinder	NC_010656	Col(BS512)_1__NC_010656	
/home/johannabanana/20201023-ContigsAnnotate/input_files/WG_assembly_edited.fa	edge_1256	11238	11561	-	IncI2_1	1-324/324	===============	0/0	100.00	96.30	plasmidfinder	KP347127	IncI2_1__KP347127	
/home/johannabanana/20201023-ContigsAnnotate/input_files/WG_assembly_edited.fa	edge_1495	382	512	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.02	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/johannabanana/20201023-ContigsAnnotate/input_files/WG_assembly_edited.fa	edge_1496	240	370	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/johannabanana/20201023-ContigsAnnotate/input_files/WG_assembly_edited.fa	edge_1496	5812	5942	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
