#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1026	198635	199060	-	fosA_1	1-426/426	===============	0/0	100.00	96.71	resfinder	M85195	fosA	Fosfomycin
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1110	41611	42824	+	floR_2	1-1214/1215	===============	0/0	99.92	98.35	resfinder	AF118107	floR	Chloramphenicol;Florfenicol
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1110	44777	45592	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1110	52947	54422	+	msr(E)_1	1-1476/1476	===============	0/0	100.00	100.00	resfinder	FR751518	msr(E)	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1110	54478	55362	+	mph(E)_1	1-885/885	===============	0/0	100.00	99.89	resfinder	DQ839391	mph(E)	Erythromycin
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1282	78430	79250	-	POM-1_1	1-821/821	===============	0/0	100.00	98.90	resfinder	GU002295	POM-1	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1290	175677	176469	-	ampH_1	1-793/795	===============	0/0	99.75	98.11	resfinder	AJ276031	ampH	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1303	68515	68933	+	fosA_3	1-420/420	========/======	1/1	99.76	99.05	resfinder	ACWO01000079	fosA	Fosfomycin
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1663	2565	3440	-	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1728	2892	3752	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1838	238	1074	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1838	1074	1876	-	aph(3'')-Ib_5	1-804/804	========/======	1/1	99.88	99.88	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_21	630625	631413	+	blaOXA-488_1	1-789/789	===============	0/0	100.00	99.87	resfinder	CP017969	blaOXA-488	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_244	72107	72870	-	erm(B)_18	1-762/762	========/======	2/2	100.00	98.95	resfinder	X66468	erm(B)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_244	74025	74946	+	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	mph(A)	Erythromycin;Azithromycin;Spiramycin;Telithromycin
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_244	79048	79908	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_2441	3041	4273	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	98.95	resfinder	Y08743	mdf(A)	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_2461	17769	18914	+	blaCMY-42_1	1-1146/1146	===============	0/0	100.00	100.00	resfinder	HM146927	blaCMY-42	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_2486	1	410	-	fosA_3	1-410/420	===============	0/0	97.62	100.00	resfinder	ACWO01000079	fosA	Fosfomycin
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_266	534	1394	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_272	363510	364755	-	tet(A)_6	1-1247/1275	========/======	1/1	97.73	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_272	365758	366594	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_272	366594	367396	-	aph(3'')-Ib_5	1-804/804	========/======	1/1	99.88	99.88	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_272	367457	368272	-	sul2_2	1-816/816	===============	0/0	100.00	99.88	resfinder	AY034138	sul2	Sulfamethoxazole
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_276	11854	12654	+	blaOXA-35_1	1-801/801	===============	0/0	100.00	100.00	resfinder	AF315786	blaOXA-35	Amoxicillin;Ampicillin;Aztreonam;Piperacillin
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_276	13129	13995	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_277	3034	3797	-	erm(B)_18	1-762/762	========/======	2/2	100.00	98.95	resfinder	X66468	erm(B)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_2777	1007	1480	+	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238	dfrA17	Trimethoprim
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_278	98	913	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_278	974	1776	+	aph(3'')-Ib_5	1-804/804	========/======	1/1	99.88	99.75	resfinder	AF321551	aph(3'')-Ib	Streptomycin
