#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
input_files/WG_assembly_edited.fa	edge_100	303	1118	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
input_files/WG_assembly_edited.fa	edge_100	1179	1981	+	aph(3'')-Ib_5	1-804/804	========/======	1/1	99.88	99.88	resfinder	AF321551	aph(3'')-Ib	Streptomycin
input_files/WG_assembly_edited.fa	edge_102	615	1475	-	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
input_files/WG_assembly_edited.fa	edge_1028	850943	851731	-	blaOXA-488_1	1-789/789	===============	0/0	100.00	99.87	resfinder	CP017969	blaOXA-488	
input_files/WG_assembly_edited.fa	edge_1077	210704	211357	-	cat_1	1-654/654	========/======	2/2	99.85	98.93	resfinder	M11587	cat	Chloramphenicol
input_files/WG_assembly_edited.fa	edge_1181	127726	128896	+	mdf(A)_1	17-1187/1233	===============	0/0	94.97	80.27	resfinder	Y08743	mdf(A)	
input_files/WG_assembly_edited.fa	edge_1198	2689	3504	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
input_files/WG_assembly_edited.fa	edge_1214	2467	3309	-	blaOXA-58_1	1-843/843	===============	0/0	100.00	100.00	resfinder	AY665723	blaOXA-58	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Imipenem;Meropenem
input_files/WG_assembly_edited.fa	edge_1220	894	1736	-	blaOXA-58_1	1-843/843	===============	0/0	100.00	100.00	resfinder	AY665723	blaOXA-58	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Imipenem;Meropenem
input_files/WG_assembly_edited.fa	edge_1275	946	1365	-	fosA_3	1-420/420	===============	0/0	100.00	100.00	resfinder	ACWO01000079	fosA	Fosfomycin
input_files/WG_assembly_edited.fa	edge_1404	8968	9795	+	blaOXA-72_1	1-828/828	===============	0/0	100.00	100.00	resfinder	AY739646	blaOXA-72	
input_files/WG_assembly_edited.fa	edge_1422	43264	44415	-	blaADC-25_1	1-1152/1152	===============	0/0	100.00	97.57	resfinder	EF016355	blaADC-25	
input_files/WG_assembly_edited.fa	edge_1483	7483	8630	+	blaCMY-2_1	1-1146/1146	========/======	2/2	100.00	99.83	resfinder	X91840	blaCMY-2	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
input_files/WG_assembly_edited.fa	edge_1512	29263	29670	-	fosA_4	1-408/408	===============	0/0	100.00	99.02	resfinder	ACWU01000146	fosA	Fosfomycin
input_files/WG_assembly_edited.fa	edge_1566	1164	1646	+	dfrA14_5	1-483/483	===============	0/0	100.00	99.59	resfinder	DQ388123	dfrA14	Trimethoprim
