#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1009	16486	16713	+	IncFII(Yp)_1_Yersenia	1-229/230	========/======	1/1	99.13	95.63	plasmidfinder	CP000670	IncFII(Yp)_1_Yersenia_CP000670	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1068	4710	5416	-	IncFII(pECLA)_1_pECLA	41-747/747	===============	0/0	94.65	99.72	plasmidfinder	CP001919	IncFII(pECLA)_1_pECLA_CP001919	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1084	7911	8061	-	IncB/O/K/Z_1	1-151/151	===============	0/0	100.00	96.69	plasmidfinder	CU928147	IncB/O/K/Z_1__CU928147	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1160	9147	9590	-	IncFII(SARC14)_1_SARC14	1-445/445	========/======	1/1	99.78	94.83	plasmidfinder	JQ418540	IncFII(SARC14)_1_SARC14_JQ418540	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1160	9850	10097	-	IncFII(S)_1	2-251/262	========/======	3/6	93.89	93.25	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1346	595	821	+	FII(pBK30683)_1	1-227/227	===============	0/0	100.00	91.63	plasmidfinder	KF954760	FII(pBK30683)_1__KF954760	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1394	248	378	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	89.31	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1394	8185	8315	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	89.31	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1398	247	377	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	89.31	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1400	4181	4300	+	ColRNAI_1	1-119/130	========/=====.	1/1	91.54	89.17	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1466	1033	1162	-	ColRNAI_1	1-130/130	========/======	2/2	99.23	85.50	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1466	1751	2033	-	Col440II_1	2-281/282	========/======	1/3	99.29	85.16	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1466	5949	6058	-	Col440I_1	1-111/114	========/======	1/1	96.49	92.79	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1466	6685	6967	-	Col440II_1	2-281/282	========/======	1/3	99.29	85.16	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1736	3544	4043	-	IncFIC(FII)_1	1-499/499	========/======	5/5	99.60	83.67	plasmidfinder	AP001918	IncFIC(FII)_1__AP001918	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1737	4793	5266	-	IncFIC(FII)_1	27-499/499	========/======	1/1	94.79	97.26	plasmidfinder	AP001918	IncFIC(FII)_1__AP001918	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1920	2919	3561	+	IncFIB(pB171)_1_pB171	1-643/643	===============	0/0	100.00	99.38	plasmidfinder	AB024946	IncFIB(pB171)_1_pB171_AB024946	
/home/johannabanana/20201023-ContigsAnnotate/input_files/SH_assembly_edited.fa	edge_1920	25488	25751	+	IncFII(pCoo)_1_pCoo	1-262/262	========/======	2/2	100.00	95.08	plasmidfinder	CR942285	IncFII(pCoo)_1_pCoo_CR942285	
