ref	query	dist	pvalue	sharedhashes	Organism.Name	Strain	Assembly	Level
AP021909.1.fa	edge_203	0.0782587	0	107/1000	Klebsiella pneumoniae	WP2-S17-ESBL-02	GCA_014168575.1	Complete
AP021929.1.fa	edge_203	0.0782587	0	107/1000	Klebsiella pneumoniae	WP2-W18-ESBL-06	GCA_014168655.1	Complete
AP022078.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae	WP4-S18-CRE-04	GCA_014170935.1	Complete
AP022139.1.fa	edge_203	0.0755413	0	114/1000	Klebsiella pneumoniae	WP5-S18-ESBL-02	GCA_014169335.1	Complete
AP022157.1.fa	edge_203	0.0786628	0	106/1000	Klebsiella pneumoniae	WP5-S18-ESBL-06	GCA_014169375.1	Complete
CP023134.2.fa	edge_203	0.0838645	0	94/1000	Klebsiella pneumoniae subsp. pneumoniae	KpvK54	GCA_002307335.2	Complete
CP027697.1.fa	edge_203	0.0790711	0	105/1000	Klebsiella pneumoniae	KP30835	GCA_003368025.1	Complete
CP041023.1.fa	edge_203	0.0820539	0	98/1000	Klebsiella pneumoniae	KP1692	GCA_008122305.1	Complete
CP041649.1.fa	edge_203	0.0733545	0	120/1000	Klebsiella pneumoniae	NKU_KlebA1	GCA_007999005.1	Complete
CP042310.1.fa	edge_203	0.0811785	0	100/1000	Klebsiella pneumoniae	103-17	GCA_013407715.1	Complete
CP043669.1.fa	edge_203	0.0816138	0	99/1000	Klebsiella pneumoniae	RJ18-06	GCA_008386255.1	Complete
CP043670.1.fa	edge_203	0.0829489	0	96/1000	Klebsiella pneumoniae	RJ18-01	GCA_008386275.1	Complete
CP044368.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	2018C01-046	GCA_009740025.1	Complete
CP044376.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae	2018S06-082	GCA_009740065.1	Complete
CP044380.1.fa	edge_203	0.0770708	0	110/1000	Klebsiella pneumoniae	2018S07-013	GCA_009740225.1	Complete
CP044385.1.fa	edge_203	0.0816138	0	99/1000	Klebsiella pneumoniae	2018C01-239	GCA_009740245.1	Complete
CP044389.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae	2018N17-066	GCA_009740045.1	Complete
CP044393.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	2018N16-148	GCA_009740085.1	Complete
