"contig","plasmid","AMR_genes","resistances"
"edge_1219","Similar to NZ_CP033846.1",NA,NA
"edge_1344","pMTY18781-3, NZ_AP023208.1",NA,NA
"edge_1404","pACI-35f6, NZ_CP026413.1","blaOXA-72",NA
"edge_1495","ColRNAI_1, pSH14-028_6, CP016513.1",NA,NA
"edge_1496","ColRNAI_1, pFAM21845_3, NZ_CP017223.1",NA,NA
"edge_1498","ColRNAI_1, pNMBU-W12E19_05, NZ_CP042889.1",NA,NA
"edge_1516","p3_010062, NZ_CP033123.1",NA,NA
"edge_1781","p009_D, NZ_CP048308.1",NA,NA
"edge_1954","IncP6_1, pPS-MS-17-188-3, NZ_CP027855.1",NA,NA
"edge_2095","p13P477T-2, NZ_CP019275.1",NA,NA
"edge_219","pSMC1, NZ_AP013064.1","sul1;ant(2)-Ia","Sulfamethoxazole;Gentamicin;Tobramycin"
"edge_2225","p3_010005, NZ_CP032129.1",NA,NA
"edge_2365","IncQ1_1, pMS260, NC_005312.1",NA,NA
"edge_2366","IncQ1_1, pP59A-5, NZ_CP044303.1",NA,NA
"edge_2374","Col440I_1, Similar to NZ_CP031819.1",NA,NA
"edge_2404","pN18EC0432-5, NZ_CP048292.1",NA,NA
"edge_2565","Col440I_1, Similar to NZ_CP024491.1",NA,NA
"edge_2974","p64-A, NZ_CP048323.1",NA,NA
"edge_2987","pRAY*-v2, NC_019345.1",NA,NA
"edge_3084","Similar to NZ_CP031820.1",NA,NA
"edge_3106","p9701, NC_011512.1",NA,NA
"edge_3135","Col440I_1, pAKI40B, CP012489.1",NA,NA
"edge_3343","IncM2_1, pC15_00, NZ_CP042490.1",NA,NA
"edge_3365","IncFIB(pKPHS1)_1, Similar to NZ_CP044046.1",NA,NA
"edge_3481","pRGI0043, HG796320.1",NA,NA
"edge_3488","pNMBU-W12E19_07, NZ_CP042891.1",NA,NA
"edge_3590","IncQ2_1, pFECR, MF554639.1",NA,NA
"edge_3591","IncQ2_1, pQnrS2_045523, NZ_CP032896.1","qnrS2","Ciprofloxacin"
"edge_3652","Col156_1, p75-02_5, CP019693.1",NA,NA
"edge_3663","ColRNAI_1, pCRP3, NC_003114.1",NA,NA
"edge_3807","Col440I_1, Similar to NZ_CP024196.1",NA,NA
"edge_3843","Similar to NZ_CP046349.1",NA,NA
"edge_3881","Col(pHAD28)_1, pCFSAN000934_03, NZ_CP009568.1",NA,NA
"edge_3898","pAhaem2126chb, NZ_CP031996.1",NA,NA
"edge_4140","pPvu1, NC_002632.1",NA,NA
"edge_4145","Similar to NZ_CP037908.1",NA,NA
"edge_4151","p80-1-2-p3, NZ_CP041294.1",NA,NA
"edge_4192","p3_010030, NZ_CP029391.2",NA,NA
"edge_4271","pECO-e618, NZ_CP026402.1",NA,NA
"edge_4284","Similar to NZ_CP013179.1",NA,NA
"edge_4306","Similar to NZ_CP033826.1",NA,NA
"edge_4328","pAER-e58e, NZ_CP026410.1","qnrS2","Ciprofloxacin"
"edge_4340","Similar to LS423453.1",NA,NA
"edge_4344","Col(pHAD28)_1, Similar to NZ_CP041106.1",NA,NA
"edge_4351","Col440I_1, pAKI40B, CP012489.1",NA,NA
"edge_4419","Col440I_1, p64-B, NZ_CP048324.1",NA,NA
"edge_4429","ColRNAI_1, Similar to NZ_CP017388.1",NA,NA
"edge_4435","pA8AHP1, NZ_CP046408.1","tet(E)","Doxycycline;Tetracycline"
"edge_4446","p14057-tetA, NZ_KY296096.1",NA,NA
"edge_4448","Col(pHAD28)_1, pE16KP0204-2, CP052299.1",NA,NA
"edge_4451","Col(pHAD28)_1, Similar to NZ_LR130560.1",NA,NA
"edge_4455","p1011-KPC2, NZ_MH734334.1",NA,NA
"edge_4466","pEC743_4, NZ_CP015073.1",NA,NA
"edge_4471","pMC23.3, MK531539.1",NA,NA
"edge_4473","Similar to NZ_LN832561.1",NA,NA
"edge_4474","Col156_1, pSCU-172-4, NZ_CP054357.1",NA,NA
"edge_4475","pLM16A1, KM659090.1",NA,NA
"edge_4479","Col8282_1, pEC542_4, NZ_CP018966.1",NA,NA
"edge_4481","p2_100004, NZ_CP027248.1",NA,NA
"edge_798","IncFIA(HI1)_1, pLH375-5, NZ_CP035201.1",NA,NA
