#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
input_files/SH_assembly_edited.fa	edge_1026	198635	199060	-	fosA	1-426/426	===============	0/0	100.00	96.71	ncbi	NG_050405.1	fosfomycin resistance glutathione transferase FosA	FOSFOMYCIN
input_files/SH_assembly_edited.fa	edge_1110	41611	42825	+	floR	1-1215/1215	===============	0/0	100.00	100.00	ncbi	NG_047869.1	chloramphenicol/florfenicol efflux MFS transporter FloR	CHLORAMPHENICOL;FLORFENICOL
input_files/SH_assembly_edited.fa	edge_1110	44777	45592	+	sul2	1-816/816	===============	0/0	100.00	100.00	ncbi	NG_051852.1	sulfonamide-resistant dihydropteroate synthase Sul2	SULFONAMIDE
input_files/SH_assembly_edited.fa	edge_1110	52947	54422	+	msr(E)	1-1476/1476	===============	0/0	100.00	100.00	ncbi	NG_048007.1	ABC-F type ribosomal protection protein Msr(E)	MACROLIDE
input_files/SH_assembly_edited.fa	edge_1110	54478	55362	+	mph(E)	1-885/885	===============	0/0	100.00	99.89	ncbi	NG_064660.1	Mph(E) family macrolide 2'-phosphotransferase	MACROLIDE
input_files/SH_assembly_edited.fa	edge_1282	78390	79250	-	blaPOM-1	1-861/861	===============	0/0	100.00	99.30	ncbi	NG_049974.1	subclass B3 metallo-beta-lactamase POM-1	CARBAPENEM
input_files/SH_assembly_edited.fa	edge_1290	175677	176469	-	blaOXA-726	1-793/795	===============	0/0	99.75	98.61	ncbi	NG_062247.1	OXA-12 family class D beta-lactamase OXA-726	BETA-LACTAM
input_files/SH_assembly_edited.fa	edge_1303	68515	68933	+	fosA_gen	1-420/420	========/======	1/1	99.76	99.05	ncbi	NG_047884.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
input_files/SH_assembly_edited.fa	edge_1663	2565	3440	-	blaCTX-M-15	1-876/876	===============	0/0	100.00	100.00	ncbi	NG_048935.1	class A extended-spectrum beta-lactamase CTX-M-15	CEPHALOSPORIN
input_files/SH_assembly_edited.fa	edge_1728	2892	3752	+	blaTEM-1	1-861/861	===============	0/0	100.00	100.00	ncbi	NG_050145.1	class A broad-spectrum beta-lactamase TEM-1	BETA-LACTAM
input_files/SH_assembly_edited.fa	edge_1838	238	1074	-	aph(6)-Id	1-837/837	===============	0/0	100.00	100.00	ncbi	NG_047464.1	aminoglycoside O-phosphotransferase APH(6)-Id	STREPTOMYCIN
input_files/SH_assembly_edited.fa	edge_1838	1074	1889	-	aph(3'')-Ib	12-828/828	========/======	1/1	98.55	99.88	ncbi	NG_056002.2	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
input_files/SH_assembly_edited.fa	edge_1841	116	1288	+	blaMCA	1-1173/1173	===============	0/0	100.00	99.49	ncbi	NG_055474.1	MCA family class C beta-lactamase	BETA-LACTAM
input_files/SH_assembly_edited.fa	edge_21	630625	631413	+	blaOXA-488	1-789/789	===============	0/0	100.00	99.87	ncbi	NG_049768.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-488	BETA-LACTAM
input_files/SH_assembly_edited.fa	edge_244	72107	72844	-	erm(B)	1-738/738	===============	0/0	100.00	99.86	ncbi	NG_047804.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	MACROLIDE
input_files/SH_assembly_edited.fa	edge_244	74025	74946	+	mph(A)	1-921/921	========/======	1/1	100.00	99.67	ncbi	NG_047986.1	Mph(A) family macrolide 2'-phosphotransferase	MACROLIDE
input_files/SH_assembly_edited.fa	edge_244	79048	79908	+	blaTEM-1	1-861/861	===============	0/0	100.00	100.00	ncbi	NG_050145.1	class A broad-spectrum beta-lactamase TEM-1	BETA-LACTAM
input_files/SH_assembly_edited.fa	edge_2461	17769	18914	+	blaCMY-42	1-1146/1146	===============	0/0	100.00	100.00	ncbi	NG_048837.1	class C extended-spectrum beta-lactamase CMY-42	CEPHALOSPORIN
input_files/SH_assembly_edited.fa	edge_2486	1	410	-	fosA_gen	1-410/420	===============	0/0	97.62	100.00	ncbi	NG_047884.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
input_files/SH_assembly_edited.fa	edge_266	534	1394	+	blaTEM-1	1-861/861	===============	0/0	100.00	100.00	ncbi	NG_050145.1	class A broad-spectrum beta-lactamase TEM-1	BETA-LACTAM
input_files/SH_assembly_edited.fa	edge_272	363482	364680	-	tet(A)	1-1200/1200	========/======	1/1	99.92	99.92	ncbi	NG_048154.1	tetracycline efflux MFS transporter Tet(A)	TETRACYCLINE
input_files/SH_assembly_edited.fa	edge_272	365758	366594	-	aph(6)-Id	1-837/837	===============	0/0	100.00	100.00	ncbi	NG_047464.1	aminoglycoside O-phosphotransferase APH(6)-Id	STREPTOMYCIN
input_files/SH_assembly_edited.fa	edge_272	366594	367420	-	aph(3'')-Ib	1-828/828	========/======	1/1	99.88	99.88	ncbi	NG_056002.2	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
input_files/SH_assembly_edited.fa	edge_272	367457	368272	-	sul2	1-816/816	===============	0/0	100.00	99.88	ncbi	NG_051852.1	sulfonamide-resistant dihydropteroate synthase Sul2	SULFONAMIDE
input_files/SH_assembly_edited.fa	edge_276	11219	11773	+	aac(6')-Ib-AKT	1-555/555	===============	0/0	100.00	99.82	ncbi	NG_052358.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	AMIKACIN;KANAMYCIN;TOBRAMYCIN
input_files/SH_assembly_edited.fa	edge_276	11854	12654	+	blaOXA-35	1-801/801	===============	0/0	100.00	100.00	ncbi	NG_049642.1	OXA-10 family oxacillin-hydrolyzing class D extended-spectrum beta-lactamase OXA-35	CEPHALOSPORIN
input_files/SH_assembly_edited.fa	edge_276	13156	13995	+	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
input_files/SH_assembly_edited.fa	edge_277	3034	3771	-	erm(B)	1-738/738	===============	0/0	100.00	99.86	ncbi	NG_047804.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	MACROLIDE
input_files/SH_assembly_edited.fa	edge_2777	1007	1480	+	dfrA17	1-474/474	===============	0/0	100.00	99.79	ncbi	NG_047710.1	trimethoprim-resistant dihydrofolate reductase DfrA17	TRIMETHOPRIM
input_files/SH_assembly_edited.fa	edge_278	98	913	+	sul2	1-816/816	===============	0/0	100.00	100.00	ncbi	NG_051852.1	sulfonamide-resistant dihydropteroate synthase Sul2	SULFONAMIDE
input_files/SH_assembly_edited.fa	edge_278	950	1776	+	aph(3'')-Ib	1-828/828	========/======	1/1	99.88	99.76	ncbi	NG_056002.2	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
input_files/SH_assembly_edited.fa	edge_278	1776	2612	+	aph(6)-Id	1-837/837	===============	0/0	100.00	100.00	ncbi	NG_047464.1	aminoglycoside O-phosphotransferase APH(6)-Id	STREPTOMYCIN
input_files/SH_assembly_edited.fa	edge_279	1680	2540	-	blaTEM-1	1-861/861	===============	0/0	100.00	99.88	ncbi	NG_050145.1	class A broad-spectrum beta-lactamase TEM-1	BETA-LACTAM
input_files/SH_assembly_edited.fa	edge_281	837	1310	+	dfrA14	1-474/474	===============	0/0	100.00	100.00	ncbi	NG_056035.1	trimethoprim-resistant dihydrofolate reductase DfrA14	TRIMETHOPRIM
input_files/SH_assembly_edited.fa	edge_281	2274	3089	-	aph(3')-Ia	1-816/816	===============	0/0	100.00	100.00	ncbi	NG_047430.1	aminoglycoside O-phosphotransferase APH(3')-Ia	KANAMYCIN
input_files/SH_assembly_edited.fa	edge_281	4005	4841	-	aph(6)-Id	1-837/837	===============	0/0	100.00	100.00	ncbi	NG_047464.1	aminoglycoside O-phosphotransferase APH(6)-Id	STREPTOMYCIN
input_files/SH_assembly_edited.fa	edge_281	4841	5667	-	aph(3'')-Ib	1-828/828	========/======	1/1	99.88	99.88	ncbi	NG_056002.2	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
input_files/SH_assembly_edited.fa	edge_281	5704	6519	-	sul2	1-816/816	===============	0/0	100.00	99.88	ncbi	NG_051852.1	sulfonamide-resistant dihydropteroate synthase Sul2	SULFONAMIDE
input_files/SH_assembly_edited.fa	edge_282	480	1295	+	sul2	1-816/816	===============	0/0	100.00	100.00	ncbi	NG_051852.1	sulfonamide-resistant dihydropteroate synthase Sul2	SULFONAMIDE
input_files/SH_assembly_edited.fa	edge_284	93	916	-	lnu(F)	1-822/822	========/======	2/2	100.00	99.27	ncbi	NG_047927.1	lincosamide nucleotidyltransferase Lnu(F)	LINCOSAMIDE
input_files/SH_assembly_edited.fa	edge_284	1048	1839	-	aadA2	1-792/792	===============	0/0	100.00	98.74	ncbi	NG_051846.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	STREPTOMYCIN
input_files/SH_assembly_edited.fa	edge_284	5684	6863	-	tet(X)	1-1158/1158	========/======	24/30	99.65	96.71	ncbi	NG_065852.1	tetracycline-inactivating monooxygenase Tet(X)	TETRACYCLINE
input_files/SH_assembly_edited.fa	edge_284	10437	11651	-	floR	1-1215/1215	===============	0/0	100.00	100.00	ncbi	NG_047869.1	chloramphenicol/florfenicol efflux MFS transporter FloR	CHLORAMPHENICOL;FLORFENICOL
input_files/SH_assembly_edited.fa	edge_2856	1464	2636	-	blaMCA	1-1173/1173	===============	0/0	100.00	99.49	ncbi	NG_055474.1	MCA family class C beta-lactamase	BETA-LACTAM
input_files/SH_assembly_edited.fa	edge_2995	708	1364	+	qnrS2	1-657/657	===============	0/0	100.00	100.00	ncbi	NG_050544.1	quinolone resistance pentapeptide repeat protein QnrS2	QUINOLONE
input_files/SH_assembly_edited.fa	edge_3025	155480	155887	+	fosA-354827590	1-408/408	===============	0/0	100.00	99.02	ncbi	NG_047883.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
input_files/SH_assembly_edited.fa	edge_3025	196474	197028	+	aac(6')-Ib-AKT	1-555/555	===============	0/0	100.00	99.82	ncbi	NG_052358.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	AMIKACIN;KANAMYCIN;TOBRAMYCIN
input_files/SH_assembly_edited.fa	edge_3025	197109	197909	+	blaOXA-35	1-801/801	===============	0/0	100.00	100.00	ncbi	NG_049642.1	OXA-10 family oxacillin-hydrolyzing class D extended-spectrum beta-lactamase OXA-35	CEPHALOSPORIN
input_files/SH_assembly_edited.fa	edge_3025	198411	199250	+	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
input_files/SH_assembly_edited.fa	edge_319	133383	134516	+	blaEC-5	1-1134/1134	===============	0/0	100.00	99.38	ncbi	NG_049085.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	CEPHALOSPORIN
input_files/SH_assembly_edited.fa	edge_3220	150402	151553	+	blaADC-32	1-1152/1152	===============	0/0	100.00	99.57	ncbi	NG_050717.1	class C extended-spectrum beta-lactamase ADC-32	CEPHALOSPORIN
input_files/SH_assembly_edited.fa	edge_3288	8420	9557	+	blaDHA-17	1-1140/1140	========/======	2/2	99.82	99.39	ncbi	NG_049062.1	class C beta-lactamase DHA-17	CEPHALOSPORIN
input_files/SH_assembly_edited.fa	edge_3331	331	1146	-	sul2	1-816/816	===============	0/0	100.00	99.88	ncbi	NG_051852.1	sulfonamide-resistant dihydropteroate synthase Sul2	SULFONAMIDE
input_files/SH_assembly_edited.fa	edge_3527	11136	11333	+	crpP	1-198/198	===============	0/0	100.00	98.99	ncbi	NG_062203.1	ciprofloxacin resistance protein CrpP	FLUOROQUINOLONE
input_files/SH_assembly_edited.fa	edge_3528	13193	13390	+	crpP	1-198/198	===============	0/0	100.00	95.45	ncbi	NG_062203.1	ciprofloxacin resistance protein CrpP	FLUOROQUINOLONE
input_files/SH_assembly_edited.fa	edge_3588	17230	18018	-	ant(3'')-IIa	1-789/789	===============	0/0	100.00	99.37	ncbi	NG_054646.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	SPECTINOMYCIN;STREPTOMYCIN
input_files/SH_assembly_edited.fa	edge_3668	1	3090	-	oqxB20	1-3090/3153	===============	0/0	98.00	99.45	ncbi	NG_050439.1	multidrug efflux RND transporter permease subunit OqxB20	PHENICOL;QUINOLONE
input_files/SH_assembly_edited.fa	edge_3668	3114	4289	-	oqxA6	1-1176/1176	===============	0/0	100.00	97.96	ncbi	NG_050424.1	multidrug efflux RND transporter periplasmic adaptor subunit OqxA6	PHENICOL;QUINOLONE
