LR792425.1	edge_98	0.0931964	0	76/1000
LR595876.2	edge_244	0.0494626	0	215/1000
LR792478.1	edge_277	0.0600659	0	165/1000
LR792478.1	edge_284	0.0838645	0	94/1000
AP021909.1	edge_294	0.0877506	0	86/1000
AP021929.1	edge_294	0.0829489	0	96/1000
AP022139.1	edge_294	0.0862491	0	89/1000
AP022157.1	edge_294	0.0799006	0	103/1000
CP023134.2	edge_294	0.0877506	0	86/1000
CP027697.1	edge_294	0.0893096	0	83/1000
CP041023.1	edge_294	0.0867434	0	88/1000
CP042310.1	edge_294	0.0882637	0	85/1000
CP043669.1	edge_294	0.0926182	0	77/1000
CP044368.1	edge_294	0.0926182	0	77/1000
CP044376.1	edge_294	0.0872439	0	87/1000
CP044380.1	edge_294	0.0857608	0	90/1000
CP044389.1	edge_294	0.0893096	0	83/1000
CP050275.1	edge_294	0.0877506	0	86/1000
CP050280.1	edge_294	0.0867434	0	88/1000
CP050285.1	edge_294	0.0872439	0	87/1000
CP056191.1	edge_294	0.0862491	0	89/1000
CP056216.1	edge_294	0.0843302	0	93/1000
CP056830.1	edge_294	0.0852783	0	91/1000
CP056854.1	edge_294	0.0872439	0	87/1000
CP056883.1	edge_294	0.0877506	0	86/1000
CP057034.1	edge_294	0.0820539	0	98/1000
CP057066.1	edge_294	0.0872439	0	87/1000
CP057069.1	edge_294	0.0877506	0	86/1000
CP057099.1	edge_294	0.0829489	0	96/1000
CP057313.1	edge_294	0.0867434	0	88/1000
CP057459.1	edge_294	0.0852783	0	91/1000
CP059379.1	edge_294	0.0848014	0	92/1000
CP059889.1	edge_294	0.0852783	0	91/1000
LR134162.1	edge_294	0.0877506	0	86/1000
LR134224.1	edge_294	0.0887833	0	84/1000
LR588410.1	edge_294	0.0824989	0	97/1000
NC_009648.1	edge_294	0.0843302	0	93/1000
NC_016845.1	edge_294	0.0852783	0	91/1000
NC_017540.1	edge_294	0.0862491	0	89/1000
NC_018522.1	edge_294	0.0877506	0	86/1000
NC_022082.1	edge_294	0.0852783	0	91/1000
NC_022566.1	edge_294	0.0838645	0	94/1000
NZ_AP018671.1	edge_294	0.0867434	0	88/1000
NZ_AP018747.1	edge_294	0.0848014	0	92/1000
NZ_AP018750.1	edge_294	0.0882637	0	85/1000
NZ_AP018753.1	edge_294	0.0882637	0	85/1000
NZ_AP021880.1	edge_294	0.0852783	0	91/1000
NZ_AP023148.1	edge_294	0.0838645	0	94/1000
NZ_CP003999.1	edge_294	0.0877506	0	86/1000
NZ_CP006659.2	edge_294	0.0857608	0	90/1000
NZ_CP006722.1	edge_294	0.0857608	0	90/1000
NZ_CP006738.1	edge_294	0.0852783	0	91/1000
NZ_CP006798.1	edge_294	0.0852783	0	91/1000
NZ_CP006918.1	edge_294	0.0877506	0	86/1000
NZ_CP006923.1	edge_294	0.0877506	0	86/1000
NZ_CP007727.1	edge_294	0.0882637	0	85/1000
NZ_CP007731.1	edge_294	0.0867434	0	88/1000
NZ_CP008797.1	edge_294	0.0882637	0	85/1000
NZ_CP008827.1	edge_294	0.0882637	0	85/1000
NZ_CP008831.1	edge_294	0.0882637	0	85/1000
NZ_CP008929.1	edge_294	0.0848014	0	92/1000
NZ_CP009114.1	edge_294	0.0862491	0	89/1000
NZ_CP009461.1	edge_294	0.0811785	0	100/1000
NZ_CP009771.1	edge_294	0.0898429	0	82/1000
NZ_CP009775.1	edge_294	0.0893096	0	83/1000
NZ_CP009863.1	edge_294	0.0857608	0	90/1000
NZ_CP009876.1	edge_294	0.0877506	0	86/1000
NZ_CP010361.1	edge_294	0.0882637	0	85/1000
NZ_CP010392.1	edge_294	0.0882637	0	85/1000
NZ_CP011313.1	edge_294	0.0903831	0	81/1000
NZ_CP011624.1	edge_294	0.0852783	0	91/1000
NZ_CP011647.1	edge_294	0.0887833	0	84/1000
NZ_CP011980.1	edge_294	0.0882637	0	85/1000
NZ_CP011985.1	edge_294	0.0898429	0	82/1000
NZ_CP011989.1	edge_294	0.0887833	0	84/1000
NZ_CP012426.1	edge_294	0.0857608	0	90/1000
NZ_CP012560.1	edge_294	0.0824989	0	97/1000
NZ_CP012561.1	edge_294	0.0824989	0	97/1000
NZ_CP012568.1	edge_294	0.0824989	0	97/1000
NZ_CP012743.1	edge_294	0.0857608	0	90/1000
NZ_CP012744.1	edge_294	0.0852783	0	91/1000
NZ_CP012745.1	edge_294	0.0848014	0	92/1000
NZ_CP012883.1	edge_294	0.0824989	0	97/1000
NZ_CP012987.1	edge_294	0.0852783	0	91/1000
NZ_CP012992.1	edge_294	0.0852783	0	91/1000
NZ_CP013711.1	edge_294	0.0877506	0	86/1000
